full_name,position,latest_team,rec_bid_dyn
Ollie Watkins,FWD,Aston Villa,36.91
Alexander Isak,FWD,Newcastle,35.93
Jarrod Bowen,FWD,West Ham,35.88
Erling Haaland,FWD,Man City,35.42
Chris Wood,FWD,Nott'm Forest,33.01
Yoane Wissa,FWD,Brentford,31.47
Jean-Philippe Mateta,FWD,Crystal Palace,28.63
Dominic Solanke-Mitchell,FWD,Spurs,23.76
Nicolas Jackson,FWD,Chelsea,23.49
Mohamed Salah,MID,Liverpool,22.19
Raúl Jiménez Rodríguez,FWD,Fulham,21.94
Kai Havertz,FWD,Arsenal,21.19
Jordan Pickford,GK,Everton,21.03
Cole Palmer,MID,Chelsea,20.84
João Pedro Junqueira de Jesus,FWD,Chelsea,20.82
David Raya Martín,GK,Arsenal,20.68
Bryan Mbeumo,MID,Man Utd,20.26
Danny Welbeck,FWD,Brighton,19.32
André Onana,GK,Man Utd,17.93
Bernd Leno,GK,Fulham,16.74
Bruno Borges Fernandes,MID,Man Utd,16.23
Rasmus Højlund,FWD,Man Utd,15.9
Emiliano Martínez Romero,GK,Aston Villa,15.74
William Saliba,DEF,Arsenal,15.44
Virgil van Dijk,DEF,Liverpool,14.76
Alisson Becker,GK,Liverpool,14.43
Joško Gvardiol,DEF,Man City,14.0
Ederson Santana de Moraes,GK,Man City,14.0
Matz Sels,GK,Nott'm Forest,13.98
Dean Henderson,GK,Crystal Palace,13.84
Matheus Santos Carneiro da Cunha,MID,Man Utd,13.65
Luis Díaz Marulanda,MID,Liverpool,13.32
Darwin Núñez Ribeiro,FWD,Liverpool,13.16
Jørgen Strand Larsen,FWD,Wolves,13.08
Robert Lynch Sánchez,GK,Chelsea,13.05
Rodrigo Muniz Carvalho,FWD,Fulham,12.83
José Malheiro de Sá,GK,Wolves,12.58
Morgan Gibbs-White,MID,Nott'm Forest,12.3
Liam Delap,FWD,Chelsea,12.19
Tyrick Mitchell,DEF,Crystal Palace,12.16
Bart Verbruggen,GK,Brighton,11.88
Norberto Bercique Gomes Betuncal,FWD,Everton,11.6
Fabian Schär,DEF,Newcastle,11.49
Antoine Semenyo,MID,Bournemouth,11.46
Francisco Evanilson de Lima Barbosa,FWD,Bournemouth,11.22
Son Heung-min,MID,Spurs,11.12
Bruno Guimarães Rodriguez Moura,MID,Newcastle,11.09
Nathan Collins,DEF,Brentford,10.69
Leandro Trossard,MID,Arsenal,10.56
Vitalii Mykolenko,DEF,Everton,10.56
Gabriel dos Santos Magalhães,DEF,Arsenal,10.05
Declan Rice,MID,Arsenal,10.03
Dan Burn,DEF,Newcastle,10.01
Eberechi Eze,MID,Crystal Palace,9.97
Daniel Muñoz Mejía,DEF,Crystal Palace,9.89
Nick Pope,GK,Newcastle,9.89
Alex Iwobi,MID,Fulham,9.77
James Tarkowski,DEF,Everton,9.76
Anthony Elanga,MID,Newcastle,9.7
Anthony Gordon,MID,Newcastle,9.65
Rayan Aït-Nouri,DEF,Man City,9.51
