fpl_id,2023/24,2024/25,min_2023/24,min_2024/25,full_name,position,latest_team
1,135.0,142.0,2880.0,3420.0,David Raya Martín,GK,Arsenal
2,0.0,106.0,0.0,2790.0,Kepa Arrizabalaga Revuelta,GK,Arsenal
3,0.0,0.0,0.0,0.0,Karl Hein,GK,Arsenal
4,,0.0,,0.0,Tommy Setford,GK,Arsenal
5,149.0,117.0,3042.0,2363.0,Gabriel dos Santos Magalhães,DEF,Arsenal
6,164.0,130.0,3420.0,3039.0,William Saliba,DEF,Arsenal
7,,39.0,,978.0,Riccardo Calafiori,DEF,Arsenal
8,0.0,114.0,70.0,2415.0,Jurriën Timber,DEF,Arsenal
9,67.0,43.0,942.0,1117.0,Jakub Kiwior,DEF,Arsenal
10,0.0,37.0,0.0,1362.0,Myles Lewis-Skelly,DEF,Arsenal
11,182.0,50.0,2987.0,1195.0,Benjamin White,DEF,Arsenal
12,104.0,40.0,1717.0,518.0,Oleksandr Zinchenko,DEF,Arsenal
13,,0.0,,0.0,Brayden Clarke,DEF,Arsenal
14,,0.0,,0.0,Maldini Kacurri,DEF,Arsenal
15,,0.0,,0.0,Josh Nichols,DEF,Arsenal
16,226.0,127.0,2922.0,1724.0,Bukayo Saka,MID,Arsenal
17,186.0,116.0,3098.0,2321.0,Martin Ødegaard,MID,Arsenal
18,76.0,120.0,1044.0,2028.0,Noni Madueke,MID,Arsenal
19,118.0,125.0,2010.0,2284.0,Gabriel Martinelli Silva,MID,Arsenal
20,138.0,152.0,1633.0,2546.0,Leandro Trossard,MID,Arsenal
21,165.0,127.0,3225.0,2823.0,Declan Rice,MID,Arsenal
22,,92.0,,1575.0,Mikel Merino Zazón,MID,Arsenal
23,24.0,0.0,290.0,0.0,Fábio Ferreira Vieira,MID,Arsenal
24,74.0,107.0,2504.0,2820.0,Christian Nørgaard,MID,Arsenal
25,1.0,66.0,13.0,882.0,Ethan Nwaneri,MID,Arsenal
27,16.0,27.0,256.0,483.0,Reiss Nelson,MID,Arsenal
28,,0.0,,0.0,Ismeal Kabia,MID,Arsenal
29,47.0,,1304.0,,Albert Sambi Lokonga,MID,Arsenal
30,180.0,97.0,2627.0,1872.0,Kai Havertz,FWD,Arsenal
31,85.0,42.0,1470.0,600.0,Gabriel Fernando de Jesus,FWD,Arsenal
32,115.0,111.0,3015.0,3195.0,Emiliano Martínez Romero,GK,Aston Villa
34,0.0,0.0,0.0,0.0,Joe Gauci,GK,Aston Villa
35,0.0,0.0,0.0,0.0,Filip Marschall,GK,Aston Villa
36,64.0,76.0,2138.0,2069.0,Matty Cash,DEF,Aston Villa
37,85.0,89.0,2405.0,2348.0,Lucas Digne,DEF,Aston Villa
38,91.0,103.0,3069.0,2936.0,Ezri Konsa Ngoyo,DEF,Aston Villa
39,11.0,57.0,200.0,1125.0,Ian Maatsen,DEF,Aston Villa
40,0.0,47.0,30.0,1119.0,Tyrone Mings,DEF,Aston Villa
41,85.0,55.0,2462.0,2019.0,Pau Torres,DEF,Aston Villa
42,,8.0,,316.0,Andrés García,DEF,Aston Villa
43,49.0,34.0,1024.0,952.0,Álex Moreno Lopera,DEF,Aston Villa
44,,6.0,,473.0,Lamare Bogarde,DEF,Aston Villa
45,,0.0,,0.0,Lino da Cruz Sousa,DEF,Aston Villa
47,35.0,161.0,636.0,3115.0,Morgan Rogers,MID,Aston Villa
48,77.0,121.0,1613.0,3025.0,Youri Tielemans,MID,Aston Villa
49,148.0,47.0,2063.0,1132.0,Leon Bailey,MID,Aston Villa
50,0.0,11.0,0.0,89.0,Emiliano Buendía Stati,MID,Aston Villa
51,,0.0,,0.0,Samuel Iling-Junior,MID,Aston Villa
