fpl_id,full_name,team,position,season,minutes,goals,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,saves,penalties_saved,penalties_missed,own_goals
1,David Raya Martín,Arsenal,GK,2023/24,2880,0,0,16,24,2,0,46,1,0,0
1,David Raya Martín,Arsenal,GK,2024/25,3420,0,0,13,34,3,0,86,0,0,0
2,Kepa Arrizabalaga Revuelta,Arsenal,GK,2023/24,0,0,0,0,0,0,0,0,0,0,0
2,Kepa Arrizabalaga Revuelta,Arsenal,GK,2024/25,2790,0,0,8,39,3,0,97,0,0,0
3,Karl Hein,Arsenal,GK,2023/24,0,0,0,0,0,0,0,0,0,0,0
3,Karl Hein,Arsenal,GK,2024/25,0,0,0,0,0,0,0,0,0,0,0
4,Tommy Setford,Arsenal,GK,2024/25,0,0,0,0,0,0,0,0,0,0,0
5,Gabriel dos Santos Magalhães,Arsenal,DEF,2023/24,3042,3,1,16,26,4,0,0,0,0,1
5,Gabriel dos Santos Magalhães,Arsenal,DEF,2024/25,2363,3,2,10,22,4,0,0,0,0,0
6,William Saliba,Arsenal,DEF,2023/24,3420,2,1,18,29,4,0,0,0,0,0
6,William Saliba,Arsenal,DEF,2024/25,3039,2,0,12,29,2,1,0,0,0,0
7,Riccardo Calafiori,Arsenal,DEF,2024/25,978,2,1,1,12,4,0,0,0,0,0
8,Jurriën Timber,Arsenal,DEF,2023/24,70,0,0,0,0,2,0,0,0,0,0
8,Jurriën Timber,Arsenal,DEF,2024/25,2415,1,3,11,21,7,0,0,0,0,0
9,Jakub Kiwior,Arsenal,DEF,2023/24,942,1,3,6,8,1,0,0,0,0,0
9,Jakub Kiwior,Arsenal,DEF,2024/25,1117,1,0,3,15,1,0,0,0,0,0
10,Myles Lewis-Skelly,Arsenal,DEF,2023/24,0,0,0,0,0,0,0,0,0,0,0
10,Myles Lewis-Skelly,Arsenal,DEF,2024/25,1362,1,0,5,16,3,2,0,0,0,0
11,Benjamin White,Arsenal,DEF,2023/24,2987,4,5,18,26,8,0,0,0,0,0
11,Benjamin White,Arsenal,DEF,2024/25,1195,0,2,5,13,2,0,0,0,0,0
12,Oleksandr Zinchenko,Arsenal,DEF,2023/24,1717,1,2,9,15,2,0,0,0,0,0
12,Oleksandr Zinchenko,Arsenal,DEF,2024/25,518,0,1,4,1,1,0,0,0,0,0
13,Brayden Clarke,Arsenal,DEF,2024/25,0,0,0,0,0,0,0,0,0,0,0
14,Maldini Kacurri,Arsenal,DEF,2024/25,0,0,0,0,0,0,0,0,0,0,0
15,Josh Nichols,Arsenal,DEF,2024/25,0,0,0,0,0,0,0,0,0,0,0
16,Bukayo Saka,Arsenal,MID,2023/24,2922,16,12,16,27,4,0,0,0,0,0
16,Bukayo Saka,Arsenal,MID,2024/25,1724,6,11,7,21,3,0,0,0,0,0
17,Martin Ødegaard,Arsenal,MID,2023/24,3098,8,11,19,23,2,0,0,0,0,0
17,Martin Ødegaard,Arsenal,MID,2024/25,2321,3,9,11,21,4,0,0,0,0,0
18,Noni Madueke,Arsenal,MID,2023/24,1044,5,3,4,19,2,0,0,0,0,0
18,Noni Madueke,Arsenal,MID,2024/25,2028,7,5,6,28,3,0,0,0,0,0
19,Gabriel Martinelli Silva,Arsenal,MID,2023/24,2010,6,5,10,23,1,0,0,0,0,0
19,Gabriel Martinelli Silva,Arsenal,MID,2024/25,2284,8,4,10,25,1,0,0,0,0,0
20,Leandro Trossard,Arsenal,MID,2023/24,1633,12,2,12,10,2,0,0,0,0,0
20,Leandro Trossard,Arsenal,MID,2024/25,2546,8,8,11,27,2,1,0,0,0,0
21,Declan Rice,Arsenal,MID,2023/24,3225,7,9,17,28,5,0,0,0,0,0
21,Declan Rice,Arsenal,MID,2024/25,2823,4,7,11,29,5,1,0,0,0,0
22,Mikel Merino Zazón,Arsenal,MID,2024/25,1575,7,2,4,17,2,1,0,0,0,0
23,Fábio Ferreira Vieira,Arsenal,MID,2023/24,290,1,3,1,2,0,1,0,0,0,0
23,Fábio Ferreira Vieira,Arsenal,MID,2024/25,0,0,0,0,0,0,0,0,0,0,0
24,Christian Nørgaard,Arsenal,MID,2023/24,2504,2,1,6,51,8,0,0,0,0,0
24,Christian Nørgaard,Arsenal,MID,2024/25,2820,5,5,6,45,8,1,0,0,0,0
25,Ethan Nwaneri,Arsenal,MID,2023/24,13,0,0,0,0,0,0,0,0,0,0
25,Ethan Nwaneri,Arsenal,MID,2024/25,882,4,2,4,4,1,0,0,0,0,0
27,Reiss Nelson,Arsenal,MID,2023/24,256,0,0,1,1,1,0,0,0,0,0
27,Reiss Nelson,Arsenal,MID,2024/25,483,1,1,1,9,1,0,0,0,0,0
28,Ismeal Kabia,Arsenal,MID,2024/25,0,0,0,0,0,0,0,0,0,0,0
29,Albert Sambi Lokonga,Arsenal,MID,2023/24,1304,1,3,2,31,4,0,0,0,0,0
30,Kai Havertz,Arsenal,FWD,2023/24,2627,13,10,16,22,11,0,0,0,0,0
30,Kai Havertz,Arsenal,FWD,2024/25,1872,9,3,7,20,5,0,0,0,0,0
31,Gabriel Fernando de Jesus,Arsenal,FWD,2023/24,1470,4,7,11,11,6,0,0,0,0,0
31,Gabriel Fernando de Jesus,Arsenal,FWD,2024/25,600,3,2,2,5,4,0,0,0,0,0
32,Emiliano Martínez Romero,Aston Villa,GK,2023/24,3015,0,0,8,48,4,0,95,0,0,2
32,Emiliano Martínez Romero,Aston Villa,GK,2024/25,3195,0,0,8,47,5,1,100,1,0,0
34,Joe Gauci,Aston Villa,GK,2023/24,0,0,0,0,0,0,0,0,0,0,0
34,Joe Gauci,Aston Villa,GK,2024/25,0,0,0,0,0,0,0,0,0,0,0
35,Filip Marschall,Aston Villa,GK,2023/24,0,0,0,0,0,0,0,0,0,0,0
35,Filip Marschall,Aston Villa,GK,2024/25,0,0,0,0,0,0,0,0,0,0,0
36,Matty Cash,Aston Villa,DEF,2023/24,2138,2,2,3,36,8,0,0,0,0,1
36,Matty Cash,Aston Villa,DEF,2024/25,2069,1,1,7,22,7,0,0,0,0,0
37,Lucas Digne,Aston Villa,DEF,2023/24,2405,1,4,6,41,7,0,0,0,0,0
37,Lucas Digne,Aston Villa,DEF,2024/25,2348,0,5,6,36,4,0,0,0,0,0
38,Ezri Konsa Ngoyo,Aston Villa,DEF,2023/24,3069,1,1,7,54,5,0,0,0,0,0
38,Ezri Konsa Ngoyo,Aston Villa,DEF,2024/25,2936,2,0,8,45,1,0,0,0,0,0
39,Ian Maatsen,Aston Villa,DEF,2023/24,200,0,0,0,5,1,0,0,0,0,0
39,Ian Maatsen,Aston Villa,DEF,2024/25,1125,1,2,3,16,2,0,0,0,0,0
40,Tyrone Mings,Aston Villa,DEF,2023/24,30,0,0,0,2,0,0,0,0,0,0
